                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.24376,                0.48173,                 0.7795,                0.98351,                0.66667,                0.65087,                0.64688,                0.21424,                0.48591,                0.78663,              0.0004387,              0.0004387,              0.0004387
                     37,                0.22804,                0.45867,                0.79119,                0.98381,                0.66667,                0.65217,                0.64921,                0.20746,                0.47291,                0.78539,             0.00041041,             0.00041041,             0.00041041
                     38,                0.23198,                0.45519,                 0.7817,                0.98357,                0.66667,                 0.6529,                0.65147,                0.21172,                0.46728,                0.78826,             0.00038211,             0.00038211,             0.00038211
                     39,                0.23756,                0.45635,                0.81131,                0.98341,                0.66667,                0.65478,                0.65347,                0.20473,                0.45699,                0.78782,             0.00035382,             0.00035382,             0.00035382
                     40,                0.21545,                0.42855,                0.78849,                0.98399,                0.66667,                0.65478,                0.65185,                0.18314,                0.43966,                0.78362,             0.00032553,             0.00032553,             0.00032553
                     41,                0.19497,                0.49384,                0.77648,                0.98347,                0.66667,                 0.6529,                0.65064,                0.20078,                0.44831,                0.78319,             0.00029723,             0.00029723,             0.00029723
                     42,                0.18537,                0.49696,                 0.7717,                0.98369,                0.66667,                0.65507,                0.65274,                0.18138,                0.46285,                0.78546,             0.00026894,             0.00026894,             0.00026894
                     43,                0.18516,                0.50064,                0.76177,                0.98388,                0.66667,                0.65377,                0.65131,                   0.17,                0.44276,                0.78469,             0.00024064,             0.00024064,             0.00024064
                     44,                0.17809,                0.49875,                0.76769,                0.98403,                0.66667,                0.65884,                0.65583,                0.19483,                0.43134,                0.78462,             0.00021235,             0.00021235,             0.00021235
                     45,                 0.1923,                  0.472,                 0.7533,                0.98399,                0.66667,                0.66072,                 0.6564,                0.18155,                  0.415,                0.78406,             0.00018406,             0.00018406,             0.00018406
                     46,                0.17896,                0.46987,                 0.7688,                0.98402,                0.66667,                0.66145,                0.65855,                0.17077,                0.41067,                0.78287,             0.00015576,             0.00015576,             0.00015576
                     47,                0.18085,                0.47276,                0.77112,                0.98404,                0.66667,                0.66072,                 0.6577,                0.17866,                0.41297,                0.78386,             0.00012747,             0.00012747,             0.00012747
                     48,                0.17694,                0.46517,                 0.7661,                  0.984,                0.66667,                0.66014,                0.65281,                 0.1781,                0.40513,                0.78332,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.15869,                0.44954,                0.75878,                0.98396,                0.66667,                0.65681,                0.64962,                0.17464,                0.40473,                0.78282,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.16229,                0.43988,                 0.7781,                0.98397,                0.66667,                0.65551,                0.65114,                0.16756,                 0.4086,                0.78228,             4.2584e-05,             4.2584e-05,             4.2584e-05
